time,lat,lng
08/29/13 10:47:40,37.7944000911,-122.382681328
08/29/13 10:47:50,37.7946001322,-122.382594748
08/29/13 10:48:00,37.794733493,-122.382537028
08/29/13 10:48:10,37.7948668537,-122.382479307
08/29/13 10:48:20,37.7950002145,-122.382421587
08/29/13 10:48:30,37.7951335752,-122.382363867
08/29/13 10:48:40,37.795266936,-122.382306146
08/29/13 10:48:50,37.7954002967,-122.382248426
08/29/13 10:49:00,37.7954056311,-122.386175717
08/29/13 10:49:10,37.7954109656,-122.390103009
08/29/13 10:49:20,37.7954163,-122.3940303
08/29/13 12:37:00,37.7710077,-122.4026538
08/29/13 12:37:10,37.7711092415,-122.402790426
08/29/13 12:37:20,37.771210783,-122.402927053
08/29/13 12:37:30,37.7713123245,-122.403063679
08/29/13 12:37:40,37.7713884806,-122.403166148
08/29/13 12:37:50,37.7714646367,-122.403268618
08/29/13 12:38:00,37.7715407929,-122.403371088
08/29/13 12:38:10,37.771616949,-122.403473557
08/29/13 12:38:20,37.7717184905,-122.403610183
08/29/13 12:38:30,37.771820032,-122.40374681
08/29/13 12:38:40,37.7719215735,-122.403883436
08/29/13 12:38:50,37.7719977296,-122.403985906
08/29/13 12:39:00,37.7720738858,-122.404088375
08/29/13 12:39:10,37.7721500419,-122.404190844
08/29/13 12:39:20,37.772226198,-122.404293314
08/29/13 12:39:30,37.7723277395,-122.40442994
08/29/13 12:39:40,37.772429281,-122.404566567
08/29/13 12:39:50,37.7725308225,-122.404703193
08/29/13 12:40:00,37.7726069786,-122.404805663
08/29/13 12:40:10,37.7726831347,-122.404908132
08/29/13 12:40:20,37.7727592909,-122.405010602
08/29/13 12:40:30,37.772835447,-122.405113072
08/29/13 12:40:40,37.7729369885,-122.405249698
08/29/13 12:40:50,37.77303853,-122.405386324
08/29/13 12:41:00,37.7731400715,-122.40552295
08/29/13 12:41:10,37.7732162276,-122.40562542
08/29/13 12:41:20,37.7732923838,-122.405727889
08/29/13 12:41:30,37.7733685399,-122.405830359
08/29/13 12:41:40,37.773444696,-122.405932829
08/29/13 12:41:50,37.7735462375,-122.406069455
08/29/13 12:42:00,37.7736477791,-122.406206081
08/29/13 12:42:10,37.7737493206,-122.406342707
08/29/13 12:42:20,37.7738254767,-122.406445177
08/29/13 12:42:30,37.7739016328,-122.406547647
08/29/13 12:42:40,37.773977789,-122.406650116
08/29/13 12:42:50,37.7740539451,-122.406752586
08/29/13 12:43:00,37.7741554866,-122.406889212
08/29/13 12:43:10,37.7742570281,-122.407025839
08/29/13 12:43:20,37.7743585696,-122.407162465
08/29/13 12:43:30,37.7744347257,-122.407264935
08/29/13 12:43:40,37.7745108818,-122.407367404
08/29/13 12:43:50,37.774587038,-122.407469873
08/29/13 12:44:00,37.7746631941,-122.407572343
08/29/13 12:44:10,37.7747647356,-122.407708969
08/29/13 12:44:20,37.7748662771,-122.407845596
08/29/13 12:44:30,37.7749678186,-122.407982222
08/29/13 12:44:40,37.7750439747,-122.408084691
08/29/13 12:44:50,37.7751201308,-122.408187161
08/29/13 12:45:00,37.775196287,-122.408289631
08/29/13 12:45:10,37.7752724431,-122.4083921
08/29/13 12:45:20,37.7753739846,-122.408528726
08/29/13 12:45:30,37.7754755261,-122.408665353
08/29/13 12:45:40,37.7755770676,-122.408801979
08/29/13 12:45:50,37.7756532237,-122.408904449
08/29/13 12:46:00,37.7757293798,-122.409006919
08/29/13 12:46:10,37.775805536,-122.409109388
08/29/13 12:46:20,37.7758816921,-122.409211858
08/29/13 12:46:30,37.7759832336,-122.409348484
08/29/13 12:46:40,37.7760847751,-122.40948511
08/29/13 12:46:50,37.7761863166,-122.409621736
08/29/13 12:47:00,37.7762878581,-122.409758362
08/29/13 12:47:10,37.7763893996,-122.409894989
08/29/13 12:47:20,37.7764909411,-122.410031615
08/29/13 12:47:30,37.7765670972,-122.410134084
08/29/13 12:47:40,37.7766432534,-122.410236554
08/29/13 12:47:50,37.7767194095,-122.410339024
08/29/13 12:48:00,37.7767955656,-122.410441493
08/29/13 12:48:10,37.7768971071,-122.410578119
08/29/13 12:48:20,37.7769986486,-122.410714746
08/29/13 12:48:30,37.7771001901,-122.410851372
08/29/13 12:48:40,37.7771763462,-122.410953842
08/29/13 12:48:50,37.7772525023,-122.411056312
08/29/13 12:49:00,37.7773286585,-122.411158781
08/29/13 12:49:10,37.7774048146,-122.411261251
08/29/13 12:49:20,37.7775063561,-122.411397877
08/29/13 12:49:30,37.7776078976,-122.411534503
08/29/13 12:49:40,37.7777094391,-122.411671129
08/29/13 12:49:50,37.7777855952,-122.411773599
08/29/13 12:50:00,37.7778617514,-122.411876068
08/29/13 12:50:10,37.7779379075,-122.411978538
08/29/13 12:50:20,37.7780140636,-122.412081008
08/29/13 12:50:30,37.7781156051,-122.412217634
08/29/13 12:50:40,37.7782171466,-122.41235426
08/29/13 12:50:50,37.7783186881,-122.412490886
08/29/13 12:51:00,37.7783948442,-122.412593356
08/29/13 12:51:10,37.7784710003,-122.412695826
08/29/13 12:51:20,37.7785471565,-122.412798295
08/29/13 12:51:30,37.7786233126,-122.412900765
08/29/13 12:51:40,37.7787248541,-122.413037391
08/29/13 12:51:50,37.7788263957,-122.413174018
08/29/13 12:52:00,37.7789279372,-122.413310644
08/29/13 12:52:10,37.7790040933,-122.413413114
08/29/13 12:52:20,37.7790802495,-122.413515583
08/29/13 12:52:30,37.7791564056,-122.413618052
08/29/13 12:52:40,37.7792325617,-122.413720522
08/29/13 12:52:50,37.7793341032,-122.413857148
08/29/13 12:53:00,37.7794356447,-122.413993775
08/29/13 12:53:10,37.7795371862,-122.414130401
08/29/13 12:53:20,37.7796133423,-122.414232871
08/29/13 12:53:30,37.7796894984,-122.41433534
08/29/13 12:53:40,37.7797656546,-122.414437809
08/29/13 12:53:50,37.7798418107,-122.414540279
08/29/13 12:54:00,37.7799433522,-122.414676905
08/29/13 12:54:10,37.7800448937,-122.414813532
08/29/13 12:54:20,37.7801464352,-122.414950158
08/29/13 12:54:30,37.7802225913,-122.415052628
08/29/13 12:54:40,37.7802987475,-122.415155097
08/29/13 12:54:50,37.7803749036,-122.415257567
08/29/13 12:55:00,37.7804510597,-122.415360037
08/29/13 12:55:10,37.7805526012,-122.415496663
08/29/13 12:55:20,37.7806541427,-122.415633289
08/29/13 12:55:30,37.7807556842,-122.415769915
08/29/13 12:55:40,37.7808318403,-122.415872385
08/29/13 12:55:50,37.7809079964,-122.415974855
08/29/13 12:56:00,37.7809841526,-122.416077324
08/29/13 12:56:10,37.7810603087,-122.416179794
08/29/13 12:56:20,37.7811618502,-122.41631642
08/29/13 12:56:30,37.7812633917,-122.416453046
08/29/13 12:56:40,37.7813649332,-122.416589672
08/29/13 12:56:50,37.7814410893,-122.416692142
08/29/13 12:57:00,37.7815172455,-122.416794611
08/29/13 12:57:10,37.7815934016,-122.416897081
08/29/13 12:57:20,37.7816695577,-122.416999551
08/29/13 12:57:30,37.7818455659,-122.407320614
08/29/13 12:57:40,37.7820215741,-122.397641676
08/29/13 12:57:50,37.7821975823,-122.387962739
08/29/13 12:58:00,37.782330943,-122.387905019
08/29/13 12:58:10,37.7824643038,-122.387847298
08/29/13 12:58:20,37.7825976645,-122.387789578
08/29/13 12:58:30,37.7826976851,-122.387746288
08/29/13 12:58:40,37.7827977056,-122.387702997
08/29/13 12:58:50,37.7828977262,-122.387659707
08/29/13 12:59:00,37.7829977468,-122.387616417
08/29/13 12:59:10,37.7831311075,-122.387558697
08/29/13 12:59:20,37.7832644683,-122.387500976
08/29/13 12:59:30,37.783397829,-122.387443256
08/29/13 12:59:40,37.7834978496,-122.387399966
08/29/13 12:59:50,37.7835978702,-122.387356676
08/29/13 13:00:00,37.7836978907,-122.387313385
08/29/13 13:00:10,37.7837979113,-122.387270095
08/29/13 13:00:20,37.783931272,-122.387212375
08/29/13 13:00:30,37.7840646328,-122.387154654
08/29/13 13:00:40,37.7841979935,-122.387096934
08/29/13 13:00:50,37.7842980141,-122.387053644
08/29/13 13:01:00,37.7843980346,-122.387010354
08/29/13 13:01:10,37.7844980552,-122.386967063
08/29/13 13:01:20,37.7845980758,-122.386923773
08/29/13 13:01:30,37.7847314365,-122.386866053
