,0
"(49, 61)",1291
"(3, 9)",3053
"(77, 50)",895
"(82, 63)",2155
"(45, 73)",738
"(57, 62)",1101
"(7, 13)",726
"(48, 66)",4725
"(29, 32)",3883
"(72, 72)",0
"(58, 39)",1548
"(61, 58)",3515
"(9, 12)",2092
"(83, 21)",1778
"(66, 39)",1821
"(69, 42)",3236
"(73, 47)",1602
"(76, 76)",0
"(42, 76)",1614
"(45, 49)",1690
"(49, 54)",367
"(13, 8)",1697
"(70, 59)",2871
"(39, 64)",1947
"(74, 54)",1154
"(3, 14)",1812
"(23, 83)",792
"(82, 54)",1968
"(45, 66)",3644
"(28, 30)",1040
"(70, 74)",2627
"(57, 71)",938
"(7, 10)",616
"(73, 71)",1434
"(58, 46)",2992
"(41, 46)",1062
"(22, 24)",1056
"(61, 51)",1731
"(83, 26)",1351
"(66, 62)",2892
"(51, 69)",2094
"(76, 75)",776
"(42, 55)",1537
"(62, 50)",1512
"(45, 42)",719
"(49, 47)",2212
"(70, 50)",2579
"(74, 49)",723
"(82, 49)",1735
"(70, 77)",2040
"(57, 72)",1018
"(58, 70)",2877
"(7, 3)",521
"(46, 42)",753
"(16, 9)",2704
"(73, 72)",2751
"(54, 58)",4659
"(58, 41)",3306
"(61, 76)",2418
"(66, 57)",1788
"(51, 74)",626
"(37, 35)",581
"(76, 66)",2445
"(77, 76)",535
"(42, 62)",2238
"(10, 7)",714
"(67, 74)",3002
"(74, 56)",544
"(70, 68)",1346
"(58, 65)",1937
"(4, 5)",322
"(46, 45)",834
"(54, 61)",924
"(58, 48)",4964
"(61, 69)",702
"(66, 48)",4279
"(65, 76)",2421
"(77, 69)",2527
"(42, 57)",2857
"(62, 60)",2960
"(10, 14)",1824
"(67, 51)",3665
"(55, 71)",1585
"(50, 56)",763
"(71, 71)",0
"(58, 72)",792
"(4, 12)",1404
"(16, 7)",1147
"(58, 59)",316
"(49, 56)",1146
"(55, 47)",1135
"(62, 39)",2063
"(10, 9)",1749
"(49, 82)",1925
"(70, 39)",1880
"(74, 42)",613
"(25, 25)",0
"(64, 76)",2130
"(50, 51)",759
"(71, 60)",2562
"(75, 57)",1655
"(4, 11)",1047
"(46, 63)",1773
"(29, 29)",0
"(51, 48)",1507
"(62, 46)",1969
"(49, 75)",1674
"(64, 67)",3648
"(65, 75)",3169
"(50, 42)",558
"(75, 62)",970
"(46, 70)",3914
"(51, 57)",1764
"(62, 70)",1337
"(27, 32)",396
"(47, 45)",1023
"(55, 61)",1447
"(49, 76)",2450
"(50, 82)",828
"(55, 82)",1721
"(63, 50)",1380
"(11, 8)",896
"(14, 7)",1789
"(71, 50)",1651
"(75, 55)",622
"(46, 73)",450
"(47, 69)",2260
"(51, 62)",1145
"(63, 73)",2106
"(5, 6)",966
"(62, 73)",2981
"(47, 42)",1438
"(63, 68)",346
"(55, 58)",2984
"(59, 63)",2460
"(67, 47)",2040
"(50, 77)",1080
"(74, 71)",1552
"(63, 59)",2499
"(68, 54)",2255
"(14, 14)",0
"(72, 49)",3380
