Trip ID,Duration,Start Date
5068,1096,8/29/2013 21:40
5069,86102,8/29/2013 21:41
5070,168,8/29/2013 21:43
5073,440,8/29/2013 21:44
5074,216,8/29/2013 21:45
5077,422,8/29/2013 21:47
5075,348,8/29/2013 21:47
5076,491,8/29/2013 21:47
5078,318,8/29/2013 21:53
5079,809,8/29/2013 22:01
5083,755,8/29/2013 22:05
5084,144,8/29/2013 22:06
5086,587,8/29/2013 22:06
5085,573,8/29/2013 22:06
5087,643,8/29/2013 22:07
5088,183,8/29/2013 22:08
5089,1423,8/29/2013 22:09
5090,892,8/29/2013 22:11
5091,1061,8/29/2013 22:11
5092,1253,8/29/2013 22:12
5093,160,8/29/2013 22:12
5094,1149,8/29/2013 22:13
5095,390,8/29/2013 22:15
5097,142,8/29/2013 22:21
5099,387,8/29/2013 22:35
5100,323,8/29/2013 22:50
5101,666,8/29/2013 22:51
5102,392,8/29/2013 22:53
5103,1278,8/29/2013 22:54
5104,661,8/29/2013 23:00
5105,245,8/29/2013 23:12
5106,672,8/29/2013 23:16
5108,694,8/29/2013 23:57
4069,174,8/29/2013 9:08
4073,1067,8/29/2013 9:24
4074,1131,8/29/2013 9:24
4075,1117,8/29/2013 9:24
4076,1118,8/29/2013 9:25
4078,3829,8/29/2013 9:31
4079,995,8/29/2013 9:35
4080,764,8/29/2013 9:36
4081,218,8/29/2013 9:38
4084,287,8/29/2013 9:41
4086,178,8/29/2013 9:42
4100,1392,8/29/2013 9:57
5109,2137,8/30/2013 0:19
5241,15160,8/30/2013 10:02
5240,497,8/30/2013 10:02
5243,1452,8/30/2013 10:05
5242,1585,8/30/2013 10:05
5244,1978,8/30/2013 10:07
5246,1633,8/30/2013 10:14
5245,1671,8/30/2013 10:14
5248,315,8/30/2013 10:15
5247,290,8/30/2013 10:15
5249,18241,8/30/2013 10:16
5250,18219,8/30/2013 10:17
5252,1016,8/30/2013 10:20
5251,1049,8/30/2013 10:20
5255,265,8/30/2013 10:23
5253,16713,8/30/2013 10:24
5254,639,8/30/2013 10:25
5258,586,8/30/2013 10:27
5259,5574,8/30/2013 10:27
5256,726,8/30/2013 10:27
5257,268,8/30/2013 10:27
5261,527,8/30/2013 10:28
5260,5536,8/30/2013 10:28
5262,561,8/30/2013 10:29
5263,740,8/30/2013 10:30
5265,311,8/30/2013 10:32
5266,318,8/30/2013 10:34
5276,344,8/30/2013 10:35
5282,193,8/30/2013 10:37
5290,327,8/30/2013 10:38
5288,368,8/30/2013 10:38
5295,573,8/30/2013 10:40
5301,416,8/30/2013 10:41
5306,1881,8/30/2013 10:42
5313,916,8/30/2013 10:43
5314,94,8/30/2013 10:44
5321,701,8/30/2013 10:46
5328,540,8/30/2013 10:47
5344,619,8/30/2013 10:55
5352,573,8/30/2013 10:56
5353,991,8/30/2013 10:56
5350,672,8/30/2013 10:56
5349,76,8/30/2013 10:56
5369,539,8/30/2013 11:01
5368,722,8/30/2013 11:01
5371,1052,8/30/2013 11:03
5370,1074,8/30/2013 11:03
5372,252,8/30/2013 11:04
5373,4908,8/30/2013 11:07
5374,405,8/30/2013 11:07
5375,4856,8/30/2013 11:07
5377,489,8/30/2013 11:12
5376,490,8/30/2013 11:12
5378,1201,8/30/2013 11:14
5380,25335,8/30/2013 11:15
5379,5719,8/30/2013 11:15
5381,1190,8/30/2013 11:17
5388,457,8/30/2013 11:21
5391,1356,8/30/2013 11:21
5396,459,8/30/2013 11:30
5399,304,8/30/2013 11:32
5412,478,8/30/2013 11:36
5416,1317,8/30/2013 11:38
5418,412,8/30/2013 11:40
5420,471,8/30/2013 11:40
